pos	ind	depth
26	xab	30
26	xac	17
26	xad	36
26	ST-1.1	17
26	ST-1.2	46
26	ST-1.3	44
26	ST-2.1	24
26	ST-2.2	20
27	xaa	30
27	xab	29
27	xac	17
27	xad	37
27	ST-1.1	17
27	ST-1.2	46
27	ST-1.3	44
27	ST-2.1	24
27	ST-2.2	20
28	xaa	30
28	xab	29
28	xac	17
28	xad	34
28	ST-1.1	17
28	ST-1.2	46
28	ST-1.3	44
28	ST-2.1	24
28	ST-2.2	20
29	xaa	29
29	xab	28
29	xac	18
29	xad	34
29	ST-1.1	18
29	ST-1.2	48
29	ST-1.3	44
29	ST-2.1	24
29	ST-2.2	20
30	xaa	29
30	xab	29
30	xac	17
30	xad	33
30	ST-1.1	21
30	ST-1.2	50
30	ST-1.3	44
30	ST-2.1	24
30	ST-2.2	20
31	xaa	30
31	xab	30
31	xac	17
31	xad	33
31	ST-1.1	21
31	ST-1.2	52
31	ST-1.3	44
31	ST-2.1	23
31	ST-2.2	20
32	xaa	30
32	xab	28
32	xac	17
32	xad	33
32	ST-1.1	21
32	ST-1.2	52
32	ST-1.3	44
32	ST-2.1	23
32	ST-2.2	20
33	xaa	30
33	xab	28
33	xac	17
33	xad	34
33	ST-1.1	22
33	ST-1.2	52
33	ST-1.3	44
33	ST-2.1	23
33	ST-2.2	20
34	xaa	30
34	xab	27
34	xac	17
34	xad	34
34	ST-1.1	21
34	ST-1.2	52
34	ST-1.3	44
34	ST-2.1	23
34	ST-2.2	20
35	xaa	30
35	xab	27
35	xac	17
35	xad	34
35	ST-1.1	21
35	ST-1.2	52
35	ST-1.3	44
35	ST-2.1	23
35	ST-2.2	20
36	xaa	30
36	xab	27
36	xac	17
36	xad	34
36	ST-1.1	21
36	ST-1.2	52
36	ST-1.3	44
36	ST-2.1	23
36	ST-2.2	21
37	xaa	30
37	xab	28
37	xac	17
37	xad	34
37	ST-1.1	21
37	ST-1.2	52
37	ST-1.3	44
37	ST-2.1	23
37	ST-2.2	21
38	xaa	30
38	xab	28
38	xac	17
38	xad	34
38	ST-1.1	21
38	ST-1.2	52
38	ST-1.3	46
38	ST-2.1	23
38	ST-2.2	21
39	xaa	30
39	xab	28
39	xac	17
39	xad	35
39	ST-1.1	21
39	ST-1.2	52
39	ST-1.3	46
39	ST-2.1	23
39	ST-2.2	21
40	xaa	30
40	xab	29
40	xac	17
40	xad	35
40	ST-1.1	21
40	ST-1.2	52
40	ST-1.3	47
40	ST-2.1	23
40	ST-2.2	21
41	xaa	30
41	xab	29
41	xac	17
41	xad	35
41	ST-1.1	20
41	ST-1.2	53
41	ST-1.3	47
41	ST-2.1	23
41	ST-2.2	21
42	xaa	30
42	xab	29
42	xac	17
42	xad	35
42	ST-1.1	20
42	ST-1.2	53
42	ST-1.3	47
42	ST-2.1	23
42	ST-2.2	21
43	xaa	30
43	xab	29
43	xac	18
43	xad	35
43	ST-1.1	20
43	ST-1.2	53
43	ST-1.3	47
43	ST-2.1	23
43	ST-2.2	21
44	xaa	31
44	xab	28
44	xac	18
44	xad	35
44	ST-1.1	20
44	ST-1.2	53
44	ST-1.3	47
44	ST-2.1	23
44	ST-2.2	21
45	xaa	30
45	xab	28
45	xac	18
45	xad	35
45	ST-1.1	20
45	ST-1.2	53
45	ST-1.3	47
45	ST-2.1	23
45	ST-2.2	21
46	xaa	30
46	xab	28
46	xac	18
46	xad	35
46	ST-1.1	20
46	ST-1.2	53
46	ST-1.3	46
46	ST-2.1	23
46	ST-2.2	21
47	xaa	30
47	xab	28
47	xac	19
47	xad	35
47	ST-1.1	20
47	ST-1.2	53
47	ST-1.3	46
47	ST-2.1	23
47	ST-2.2	21
48	xaa	30
48	xab	28
48	xac	19
48	xad	35
48	ST-1.1	20
48	ST-1.2	53
48	ST-1.3	46
48	ST-2.1	23
48	ST-2.2	21
49	xaa	30
49	xab	29
49	xac	19
49	xad	33
49	ST-1.1	20
49	ST-1.2	53
49	ST-1.3	46
49	ST-2.1	23
49	ST-2.2	20
50	xaa	29
50	xab	28
50	xac	18
50	xad	32
50	ST-1.1	20
50	ST-1.2	53
50	ST-1.3	46
50	ST-2.1	23
50	ST-2.2	20
51	xaa	29
51	xab	27
51	xac	18
51	xad	32
51	ST-1.1	20
51	ST-1.2	54
51	ST-1.3	46
51	ST-2.1	23
51	ST-2.2	20
52	xaa	29
52	xab	27
52	xac	18
52	xad	32
52	ST-1.1	20
52	ST-1.2	54
52	ST-1.3	46
52	ST-2.1	23
52	ST-2.2	20
53	xaa	28
53	xab	27
53	xac	17
53	xad	32
53	ST-1.1	20
53	ST-1.2	54
53	ST-1.3	46
53	ST-2.1	23
53	ST-2.2	20
54	xaa	28
54	xab	27
54	xac	18
54	xad	33
54	ST-1.1	20
54	ST-1.2	55
54	ST-1.3	46
54	ST-2.1	23
54	ST-2.2	20
55	xaa	28
55	xab	27
55	xac	18
55	xad	33
55	ST-1.1	20
55	ST-1.2	55
55	ST-1.3	46
55	ST-2.1	23
55	ST-2.2	20
56	xaa	28
56	xab	26
56	xac	17
56	xad	30
56	ST-1.1	20
56	ST-1.2	55
56	ST-1.3	46
56	ST-2.1	20
56	ST-2.2	19
57	xaa	29
57	xab	26
57	xac	17
57	xad	30
57	ST-1.1	20
57	ST-1.2	55
57	ST-1.3	47
57	ST-2.1	20
57	ST-2.2	17
58	xaa	29
58	xab	26
58	xac	15
58	xad	30
58	ST-1.1	20
58	ST-1.2	56
58	ST-1.3	47
58	ST-2.1	20
58	ST-2.2	17
59	xaa	27
59	xab	25
59	xac	16
59	xad	30
59	ST-1.1	20
59	ST-1.2	57
59	ST-1.3	46
59	ST-2.1	19
59	ST-2.2	17
60	xaa	27
60	xab	26
60	xac	16
60	xad	30
60	ST-1.1	20
60	ST-1.2	57
60	ST-1.3	46
60	ST-2.1	19
60	ST-2.2	17
61	xaa	27
61	xab	26
61	xac	16
61	xad	27
61	ST-1.1	20
61	ST-1.2	57
61	ST-1.3	46
61	ST-2.1	19
61	ST-2.2	17
62	xaa	27
62	xab	26
62	xac	16
62	xad	27
62	ST-1.1	20
62	ST-1.2	57
62	ST-1.3	46
62	ST-2.1	19
62	ST-2.2	17
63	xaa	28
63	xab	26
63	xac	16
63	xad	27
63	ST-1.1	20
63	ST-1.2	57
63	ST-1.3	47
63	ST-2.1	18
63	ST-2.2	17
64	xaa	28
64	xab	26
64	xac	16
64	xad	28
64	ST-1.1	20
64	ST-1.2	57
64	ST-1.3	48
64	ST-2.1	18
64	ST-2.2	17
65	xaa	28
65	xab	26
65	xac	16
65	xad	28
65	ST-1.1	20
65	ST-1.2	57
65	ST-1.3	48
65	ST-2.1	18
65	ST-2.2	17
66	xaa	28
66	xab	27
66	xac	16
66	xad	28
66	ST-1.1	20
66	ST-1.2	57
66	ST-1.3	48
66	ST-2.1	18
66	ST-2.2	17
67	xaa	28
67	xab	27
67	xac	16
67	xad	27
67	ST-1.1	20
67	ST-1.2	57
67	ST-1.3	47
67	ST-2.1	18
67	ST-2.2	17
68	xaa	28
68	xab	27
68	xac	17
68	xad	28
68	ST-1.1	20
68	ST-1.2	57
68	ST-1.3	47
68	ST-2.1	18
68	ST-2.2	17
69	xaa	28
69	xab	27
69	xac	16
69	xad	28
69	ST-1.1	20
69	ST-1.2	56
69	ST-1.3	47
69	ST-2.1	18
69	ST-2.2	17
70	xaa	28
70	xab	27
70	xac	16
70	xad	27
70	ST-1.1	20
70	ST-1.2	56
70	ST-1.3	47
70	ST-2.1	18
70	ST-2.2	17
71	xaa	29
71	xab	26
71	xac	16
71	xad	27
71	ST-1.1	20
71	ST-1.2	56
71	ST-1.3	47
71	ST-2.1	18
71	ST-2.2	17
72	xaa	29
72	xab	25
72	xac	16
72	xad	27
72	ST-1.1	20
72	ST-1.2	56
72	ST-1.3	47
72	ST-2.1	16
72	ST-2.2	16
73	xaa	30
73	xab	27
73	xac	16
73	xad	27
73	ST-1.1	20
73	ST-1.2	56
73	ST-1.3	47
73	ST-2.1	15
73	ST-2.2	16
74	xaa	30
74	xab	27
74	xac	19
74	xad	30
74	ST-1.1	18
74	ST-1.2	47
74	ST-1.3	39
74	ST-2.1	11
74	ST-2.2	14
75	xaa	30
75	xab	27
75	xac	19
75	xad	30
75	ST-1.1	16
75	ST-1.2	47
75	ST-1.3	39
75	ST-2.1	11
75	ST-2.2	13
76	xaa	31
76	xab	27
76	xac	19
76	xad	28
76	ST-1.1	17
76	ST-1.2	48
76	ST-1.3	39
76	ST-2.1	11
76	ST-2.2	13
77	xaa	31
77	xab	27
77	xac	19
77	xad	28
77	ST-1.1	17
77	ST-1.2	48
77	ST-1.3	39
77	ST-2.1	11
77	ST-2.2	13
78	xaa	31
78	xab	27
78	xac	19
78	xad	27
78	ST-1.1	17
78	ST-1.2	48
78	ST-1.3	38
78	ST-2.1	11
78	ST-2.2	13
79	xaa	31
79	xab	27
79	xac	20
79	xad	27
79	ST-1.1	17
79	ST-1.2	45
79	ST-1.3	38
79	ST-2.1	11
79	ST-2.2	13
80	xaa	31
80	xab	27
80	xac	20
80	xad	27
80	ST-1.1	17
80	ST-1.2	45
80	ST-1.3	38
80	ST-2.1	11
80	ST-2.2	13
81	xaa	30
81	xab	27
81	xac	20
81	xad	27
81	ST-1.1	17
81	ST-1.2	44
81	ST-1.3	38
81	ST-2.1	11
81	ST-2.2	13
82	xaa	30
82	xab	27
82	xac	20
82	xad	31
82	ST-1.1	17
82	ST-1.2	44
82	ST-1.3	38
82	ST-2.1	10
82	ST-2.2	13
83	xaa	30
83	xab	27
83	xac	20
83	xad	32
83	ST-1.1	18
83	ST-1.2	44
83	ST-1.3	38
83	ST-2.1	10
83	ST-2.2	13
84	xaa	30
84	xab	27
84	xac	20
84	xad	32
84	ST-1.1	19
84	ST-1.2	44
84	ST-1.3	39
84	ST-2.1	9
84	ST-2.2	12
85	xaa	30
85	xab	28
85	xac	21
85	xad	33
85	ST-1.1	19
85	ST-1.2	44
85	ST-1.3	39
85	ST-2.1	9
85	ST-2.2	12
86	xaa	30
86	xab	29
86	xac	21
86	xad	33
86	ST-1.1	19
86	ST-1.2	44
86	ST-1.3	39
86	ST-2.1	9
86	ST-2.2	12
87	xaa	29
87	xab	28
87	xac	21
87	xad	31
87	ST-1.1	19
87	ST-1.2	44
87	ST-1.3	39
87	ST-2.1	9
87	ST-2.2	12
88	xaa	29
88	xab	27
88	xac	21
88	xad	31
88	ST-1.1	19
88	ST-1.2	44
88	ST-1.3	39
88	ST-2.1	9
88	ST-2.2	12
89	xaa	29
89	xab	25
89	xac	21
89	xad	31
89	ST-1.1	19
89	ST-1.2	44
89	ST-1.3	39
89	ST-2.1	9
89	ST-2.2	12
90	xaa	29
90	xab	25
90	xac	21
90	xad	31
90	ST-1.1	17
90	ST-1.2	37
90	ST-1.3	38
90	ST-2.1	7
90	ST-2.2	10
91	xaa	29
91	xab	25
91	xac	21
91	xad	31
91	ST-1.1	16
91	ST-1.2	35
91	ST-1.3	37
91	ST-2.1	7
91	ST-2.2	10
92	xaa	29
92	xab	25
92	xac	22
92	xad	32
92	ST-1.1	16
92	ST-1.2	32
92	ST-1.3	34
92	ST-2.1	7
92	ST-2.2	8
93	xaa	29
93	xab	25
93	xac	22
93	xad	32
93	ST-1.1	16
93	ST-1.2	32
93	ST-1.3	34
93	ST-2.1	6
93	ST-2.2	7
94	xaa	29
94	xab	25
94	xac	22
94	xad	32
94	ST-1.1	16
94	ST-1.2	32
94	ST-1.3	33
94	ST-2.1	6
94	ST-2.2	7
95	xaa	31
95	xab	24
95	xac	22
95	xad	32
95	ST-1.1	16
95	ST-1.2	32
95	ST-1.3	33
95	ST-2.1	6
95	ST-2.2	7
96	xaa	28
96	xab	24
96	xac	23
96	xad	32
96	ST-1.1	16
96	ST-1.2	32
96	ST-1.3	33
96	ST-2.1	7
96	ST-2.2	7
97	xaa	28
97	xab	24
97	xac	23
97	xad	32
97	ST-1.1	16
97	ST-1.2	32
97	ST-1.3	38
97	ST-2.1	7
97	ST-2.2	7
98	xaa	28
98	xab	24
98	xac	22
98	xad	32
98	ST-1.1	16
98	ST-1.2	33
98	ST-1.3	37
98	ST-2.1	8
98	ST-2.2	8
99	xaa	26
99	xab	25
99	xac	20
99	xad	33
99	ST-1.1	16
99	ST-1.2	33
99	ST-1.3	36
99	ST-2.1	7
99	ST-2.2	6
100	xaa	26
100	xab	26
100	xac	20
100	xad	32
100	ST-1.1	16
100	ST-1.2	33
100	ST-1.3	36
100	ST-2.1	6
100	ST-2.2	6
101	xaa	26
101	xab	26
101	xac	20
101	xad	32
101	ST-1.1	16
101	ST-1.2	35
101	ST-1.3	37
101	ST-2.1	6
101	ST-2.2	6
102	xaa	26
102	xab	29
102	xac	20
102	xad	32
102	ST-1.1	16
102	ST-1.2	35
102	ST-1.3	37
102	ST-2.1	6
102	ST-2.2	5
103	xaa	26
103	xab	29
103	xac	21
103	xad	32
103	ST-1.1	16
103	ST-1.2	35
103	ST-1.3	36
103	ST-2.1	6
103	ST-2.2	6
104	xaa	26
104	xab	29
104	xac	21
104	xad	32
104	ST-1.1	16
104	ST-1.2	35
104	ST-1.3	36
104	ST-2.1	6
104	ST-2.2	6
105	xaa	26
105	xab	29
105	xac	21
105	xad	32
105	ST-1.1	16
105	ST-1.2	35
105	ST-1.3	36
105	ST-2.1	6
105	ST-2.2	6
106	xaa	26
106	xab	27
106	xac	19
106	xad	32
106	ST-1.1	17
106	ST-1.2	35
106	ST-1.3	36
106	ST-2.1	5
106	ST-2.2	6
107	xaa	26
107	xab	27
107	xac	19
107	xad	32
107	ST-1.1	17
107	ST-1.2	35
107	ST-1.3	36
107	ST-2.1	5
107	ST-2.2	6
108	xaa	27
108	xab	27
108	xac	19
108	xad	33
108	ST-1.1	17
108	ST-1.2	35
108	ST-1.3	36
108	ST-2.1	5
108	ST-2.2	6
109	xaa	27
109	xab	27
109	xac	19
109	xad	33
109	ST-1.1	17
109	ST-1.2	35
109	ST-1.3	36
109	ST-2.1	5
109	ST-2.2	6
110	xaa	27
110	xab	27
110	xac	18
110	xad	34
110	ST-1.1	16
110	ST-1.2	35
110	ST-1.3	33
110	ST-2.1	5
110	ST-2.2	6
111	xaa	27
111	xab	27
111	xac	18
111	xad	34
111	ST-1.1	16
111	ST-1.2	35
111	ST-1.3	33
111	ST-2.1	5
111	ST-2.2	6
112	xaa	26
112	xab	26
112	xac	18
112	xad	34
112	ST-1.1	16
112	ST-1.2	35
112	ST-1.3	32
112	ST-2.1	5
112	ST-2.2	6
113	xaa	26
113	xab	26
113	xac	18
113	xad	34
113	ST-1.1	16
113	ST-1.2	35
113	ST-1.3	32
113	ST-2.1	5
113	ST-2.2	6
114	xaa	26
114	xab	24
114	xac	18
114	xad	34
114	ST-1.1	16
114	ST-1.2	35
114	ST-1.3	32
114	ST-2.1	5
114	ST-2.2	6
115	xaa	25
115	xab	24
115	xac	18
115	xad	34
115	ST-1.1	16
115	ST-1.2	35
115	ST-1.3	32
115	ST-2.1	5
115	ST-2.2	6
116	xaa	24
116	xab	24
116	xac	18
116	xad	34
116	ST-1.1	16
116	ST-1.2	35
116	ST-1.3	32
116	ST-2.1	5
116	ST-2.2	6
117	xaa	24
117	xab	24
117	xac	18
117	xad	34
117	ST-1.1	16
117	ST-1.2	35
117	ST-1.3	31
117	ST-2.1	5
117	ST-2.2	6
118	xaa	24
118	xab	24
118	xac	17
118	xad	34
118	ST-1.1	16
118	ST-1.2	35
118	ST-1.3	30
118	ST-2.1	4
118	ST-2.2	6
119	xaa	24
119	xab	24
119	xac	17
119	xad	34
119	ST-1.1	16
119	ST-1.2	35
119	ST-1.3	30
119	ST-2.1	4
119	ST-2.2	6
120	xaa	24
120	xab	24
120	xac	16
120	xad	34
120	ST-1.1	16
120	ST-1.2	31
120	ST-1.3	29
120	ST-2.1	4
120	ST-2.2	6
121	xaa	24
121	xab	24
121	xac	16
121	xad	33
121	ST-1.1	16
121	ST-1.2	31
121	ST-1.3	29
121	ST-2.1	4
121	ST-2.2	6
122	xaa	22
122	xab	24
122	xac	16
122	xad	33
122	ST-1.1	16
122	ST-1.2	31
122	ST-1.3	29
122	ST-2.1	5
122	ST-2.2	6
123	xaa	22
123	xab	24
123	xac	16
123	xad	32
123	ST-1.1	15
123	ST-1.2	31
123	ST-1.3	29
123	ST-2.1	5
123	ST-2.2	6
124	xaa	22
124	xab	24
124	xac	16
124	xad	32
124	ST-1.1	14
124	ST-1.2	28
124	ST-1.3	28
124	ST-2.1	4
124	ST-2.2	6
125	xaa	22
125	xab	24
125	xac	16
125	xad	31
125	ST-1.1	14
125	ST-1.2	28
125	ST-1.3	28
125	ST-2.1	4
125	ST-2.2	6
126	xaa	22
126	xab	24
126	xac	16
126	xad	31
126	ST-1.1	15
126	ST-1.2	29
126	ST-1.3	28
126	ST-2.1	4
126	ST-2.2	6
127	xaa	22
127	xab	24
127	xac	16
127	xad	31
127	ST-1.1	15
127	ST-1.2	29
127	ST-1.3	28
127	ST-2.1	4
127	ST-2.2	6
128	xaa	21
128	xab	23
128	xac	16
128	xad	31
128	ST-1.1	14
128	ST-1.2	28
128	ST-1.3	28
128	ST-2.1	4
128	ST-2.2	6
129	xaa	21
129	xab	23
129	xac	16
129	xad	30
129	ST-1.1	13
129	ST-1.2	25
129	ST-1.3	27
129	ST-2.1	4
129	ST-2.2	6
130	xaa	22
130	xab	23
130	xac	16
130	xad	30
130	ST-1.1	13
130	ST-1.2	25
130	ST-1.3	27
130	ST-2.1	4
130	ST-2.2	5
131	xaa	22
131	xab	23
131	xac	16
131	xad	30
131	ST-1.1	13
131	ST-1.2	25
131	ST-1.3	27
131	ST-2.1	4
131	ST-2.2	5
132	xaa	22
132	xab	23
132	xac	16
132	xad	31
132	ST-1.1	13
132	ST-1.2	25
132	ST-1.3	27
132	ST-2.1	4
132	ST-2.2	5
133	xaa	22
133	xab	23
133	xac	16
133	xad	31
133	ST-1.1	13
133	ST-1.2	25
133	ST-1.3	27
133	ST-2.1	4
133	ST-2.2	5
134	xaa	22
134	xab	22
134	xac	16
134	xad	30
134	ST-1.1	12
134	ST-1.2	25
134	ST-1.3	27
134	ST-2.1	4
134	ST-2.2	5
135	xaa	22
135	xab	22
135	xac	16
135	xad	30
135	ST-1.1	12
135	ST-1.2	25
135	ST-1.3	27
135	ST-2.1	4
135	ST-2.2	5
136	xaa	21
136	xab	22
136	xac	16
136	xad	30
136	ST-1.1	12
136	ST-1.2	25
136	ST-1.3	27
136	ST-2.1	4
136	ST-2.2	5
137	xaa	21
137	xab	22
137	xac	16
137	xad	30
137	ST-1.1	12
137	ST-1.2	25
137	ST-1.3	27
137	ST-2.1	4
137	ST-2.2	5
138	xaa	20
138	xab	22
138	xac	17
138	xad	30
138	ST-1.1	12
138	ST-1.2	26
138	ST-1.3	26
138	ST-2.1	4
138	ST-2.2	5
139	xaa	20
139	xab	22
139	xac	17
139	xad	30
139	ST-1.1	12
139	ST-1.2	26
139	ST-1.3	26
139	ST-2.1	4
139	ST-2.2	5
140	xaa	20
140	xab	20
140	xac	17
140	xad	30
140	ST-1.1	12
140	ST-1.2	26
140	ST-1.3	26
140	ST-2.1	4
140	ST-2.2	5
141	xaa	21
141	xab	20
141	xac	17
141	xad	31
141	ST-1.1	12
141	ST-1.2	26
141	ST-1.3	26
141	ST-2.1	4
141	ST-2.2	6
142	xaa	21
142	xab	20
142	xac	17
142	xad	31
142	ST-1.1	12
142	ST-1.2	26
142	ST-1.3	26
142	ST-2.1	4
142	ST-2.2	6
143	xaa	21
143	xab	20
143	xac	17
143	xad	31
143	ST-1.1	11
143	ST-1.2	26
143	ST-1.3	25
143	ST-2.1	5
143	ST-2.2	8
144	xaa	21
144	xab	20
144	xac	17
144	xad	31
144	ST-1.1	11
144	ST-1.2	26
144	ST-1.3	25
144	ST-2.1	5
144	ST-2.2	8
145	xaa	21
145	xab	20
145	xac	17
145	xad	32
145	ST-1.1	11
145	ST-1.2	26
145	ST-1.3	24
145	ST-2.1	5
145	ST-2.2	8
146	xaa	21
146	xab	20
146	xac	17
146	xad	32
146	ST-1.1	11
146	ST-1.2	26
146	ST-1.3	24
146	ST-2.1	5
146	ST-2.2	8
147	xaa	20
147	xab	19
147	xac	17
147	xad	32
147	ST-1.1	11
147	ST-1.2	26
147	ST-1.3	24
147	ST-2.1	5
147	ST-2.2	8
148	xaa	20
148	xab	19
148	xac	17
148	xad	32
148	ST-1.1	11
148	ST-1.2	26
148	ST-1.3	24
148	ST-2.1	5
148	ST-2.2	8
149	xaa	20
149	xab	19
149	xac	17
149	xad	32
149	ST-1.1	11
149	ST-1.2	26
149	ST-1.3	22
149	ST-2.1	5
149	ST-2.2	8
150	xaa	20
150	xab	19
150	xac	17
150	xad	32
150	ST-1.1	11
150	ST-1.2	26
150	ST-1.3	22
150	ST-2.1	5
150	ST-2.2	8
151	xaa	20
151	xab	19
151	xac	17
151	xad	31
151	ST-1.1	11
151	ST-1.2	26
151	ST-1.3	22
151	ST-2.1	5
151	ST-2.2	8
152	xaa	20
152	xab	19
152	xac	17
152	xad	31
152	ST-1.1	12
152	ST-1.2	26
152	ST-1.3	22
152	ST-2.1	5
152	ST-2.2	8
153	xaa	20
153	xab	20
153	xac	17
153	xad	31
153	ST-1.1	12
153	ST-1.2	27
153	ST-1.3	23
153	ST-2.1	5
153	ST-2.2	8
154	xaa	20
154	xab	20
154	xac	17
154	xad	30
154	ST-1.1	12
154	ST-1.2	30
154	ST-1.3	23
154	ST-2.1	5
154	ST-2.2	8
155	xaa	20
155	xab	22
155	xac	17
155	xad	30
155	ST-1.1	12
155	ST-1.2	31
155	ST-1.3	21
155	ST-2.1	5
155	ST-2.2	8
156	xaa	20
156	xab	22
156	xac	17
156	xad	29
156	ST-1.1	12
156	ST-1.2	30
156	ST-1.3	19
156	ST-2.1	5
156	ST-2.2	7
157	xaa	20
157	xab	22
157	xac	17
157	xad	29
157	ST-1.1	11
157	ST-1.2	27
157	ST-1.3	15
157	ST-2.1	5
157	ST-2.2	8
158	xaa	20
158	xab	24
158	xac	17
158	xad	29
158	ST-1.1	12
158	ST-1.2	29
158	ST-1.3	15
158	ST-2.1	5
158	ST-2.2	8
159	xaa	19
159	xab	24
159	xac	17
159	xad	29
159	ST-1.1	12
159	ST-1.2	29
159	ST-1.3	15
159	ST-2.1	5
159	ST-2.2	9
160	xaa	19
160	xab	24
160	xac	17
160	xad	29
160	ST-1.1	12
160	ST-1.2	29
160	ST-1.3	15
160	ST-2.1	5
160	ST-2.2	9
161	xaa	19
161	xab	24
161	xac	17
161	xad	29
161	ST-1.1	14
161	ST-1.2	31
161	ST-1.3	15
161	ST-2.1	5
161	ST-2.2	9
162	xaa	18
162	xab	24
162	xac	17
162	xad	29
162	ST-1.1	14
162	ST-1.2	31
162	ST-1.3	15
162	ST-2.1	7
162	ST-2.2	13
163	xaa	18
163	xab	24
163	xac	17
163	xad	29
163	ST-1.1	14
163	ST-1.2	31
163	ST-1.3	15
163	ST-2.1	7
163	ST-2.2	13
164	xaa	18
164	xab	24
164	xac	17
164	xad	29
164	ST-1.1	14
164	ST-1.2	31
164	ST-1.3	16
164	ST-2.1	7
164	ST-2.2	13
165	xaa	18
165	xab	24
165	xac	17
165	xad	28
165	ST-1.1	14
165	ST-1.2	31
165	ST-1.3	16
165	ST-2.1	7
165	ST-2.2	13
166	xaa	18
166	xab	24
166	xac	17
166	xad	28
166	ST-1.1	14
166	ST-1.2	31
166	ST-1.3	16
166	ST-2.1	7
166	ST-2.2	13
167	xaa	19
167	xab	25
167	xac	17
167	xad	28
